phasename,phaseid,WT Projects,status,notes,startDate,endDate,RAG
MetaPlatform Dashboard Embedding,AMV-1.4,WT-UX14,Planned,StepTaskOutput4.1Import AgentMesh.tsx into MetaPlatformDashboard.tsxRendered diagram within dashboard4.2Link view filter to agent registry card (Agent Tracker)Interactive dashboard toggle4.3Add dispatch overlay when MetaPlatform agent is clickedActionable UI hook4.4Enable live-sync toggle in Meta contextRuntime control layer,,,
Live Status + Semantic Tags,AMV-1.3,WT-UX14,deprecated)Updated JSON3.2Add visual styling for active/planned/deprecated edgesEdge color coding3.3Pull live state from GitHub / Claude Dispatcher status (future)Runtime sync hooks (optional)3.4Add RAG status badge overlays where applicableOptional Governance overlay,StepTaskOutput3.1Add status field to each link (e.g.,planned,,
Dynamic Component (React),AMV-1.2,WT-UX14,Governance)UI filters2.5Connect diagram hover/click events to metadata or modal detailInteraction layer2.6Log component and source config in Template TrackerGovernance linkage,StepTaskOutput2.1Create AgentMesh.tsx component scaffoldComponent file2.2Create source-of-truth file integrationMap.jsonJSON registry2.3Render diagram using Mermaid wrapper (@mermaid-js/react) or custom D3Live diagram inside WT UI2.4Add toggle views (CodeOps,Runtime,,
Static Diagram Prototype,AMV-1.1,WT-UX14,WT UI,StepTaskOutput1.1Define core entities (Claude,GitHub,,
Mobile + Cross Project,WT-5.4,WT-UX8,,WT 5.4 – Mobile + Cross-Project View,,,
• Responsive updates to core components,,,,,,,
• Timeline: add global view with filters by tag/status,,Planned,,,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),
Collaboration & Alert,WT-5.3,WT-UX8,,WT 5.3 – Collaboration & Alerts,,,
• Add inline comment threads per PhaseStep,,,,,,,
• Support user mentions and task ownership,,,,,,,
• Build Slack/email notification connector,,Planned,,,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),
Rule Engine MVP,WT-5.2,WT-UX8,,WT 5.2 – Rule Engine MVP,,,
• Define Rule,Trigger,,,,,,Action data types
• Implement Rule builder UI + logic processor,,,,,,,
• Link rules to Step events and Logs,,Planned,,,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),
Kanban & Timeline Foundations,,,,,,,
,WT-5.1,WT-UX8,,WT 5.1 – Kanban & Timeline Foundations,,,
• Add startDate,dueDate,,,,,,statusLastUpdated fields
• Create Kanban UI: drag/drop PhaseSteps grouped by status,,,,,,,
• Create Gantt UI: timeline bar per PhaseStep,,Planned,,,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),
Slash Command + Memory Ops,WT-5.7 ,WT-UX8,Wombat Track – Gizmo,Slash commands,recall and context injection,,Amber
Real-Time Dispatch,WT-5.6 ,WT-UX8,July 23,2025,Wombat Track – Gizmo,July 25,Green
GovernanceLog Hook,WT-5.5 ,WT-UX8,July 21,2025,Wombat Track – Gizmo,July 22,Green
GizmoConsole UI Integration ,WT-5.4,WT-UX8,and dispatch hook,2025,styling,July 21,Green
Logo and Brand visual identity,Orb-1.3 ,WT-UX12,,The conversation about Orbis branding might be stored in:,,,
,,,,,,,
1. Project Memory: ./CLAUDE.md (team-shared),,,,,,,
2. User Memory: ~/.claude/CLAUDE.md (your personal memory),,,,,,,
,,,,,,,
● Bash(ls -la ~/.claude/ 2>/dev/null || echo No ~/.claude directory found),,,,,,,
⎿  total 4,,,,,,,
drwxr-xr-x 1 jtaylor jtaylor  104 Jul 26 14:15 .,,,,,,,
drwxr-xr-x 1 jtaylor jtaylor  522 Jul 28 13:03 ..,,,,,,,
… +5 lines (ctrl+r to expand),,,,,,,
,,,,,,,
● Bash(find ~/.claude -name http://claude.md/ -o -name *.md | head -10),,,,,,,
⎿  (No content),,,,,,,
,,,,,,,
● List(../../.claude/projects),,,,,,,
⎿  Listed 29 paths (ctrl+r to expand),WP-UX13,2000,,Design Principles (https://www.notion.so/Design-Principles-23ee1901e36e80d99b34fe4f9df8e231?pvs=21),,In Progress,January 1
Wireframes,Orb-1.4 ,WT-UX12,2000,,January 1,,
Logo Vision,Orb-1.2 ,WT-UX12,,🌌 ORBIS BRAND CONCEPT EVOLUTIONS,,,
🔵 1. Orbis Core,,,,,,,
“The center of intelligent systems.”,,,,,,,
,,,,,,,
Circular,recursive,memory,,and system orchestration.,,AI interaction,fundamental. This name embodies the philosophical nucleus of Orbis — a semantic engine driving governance
✴️ Core Themes:,,,,,,,
• Cognition loops (Hofstadter’s “Strange Loop”),,,,,,,
• Autopoiesis — systems that regenerate themselves,,,,,,,
• Governance kernel — a semantic OS at the heart of digital infrastructure,,,,,,,
• Circular logic → Rational coherence → Auditability,,,,,,,
🌈 Visual Mood:,,,,,,,
• Minimalist,high-contrast,,,,,,
• Monoline circle glyphs / stacked concentric rings,,,,,,,
• Echoes of operating system boot loaders or schematic cores,,,,,,,
🔤 Logo Direction:,,,,,,,
• Stylised “O” with pulsing center,,,,,,,
• Typography: geometric sans (e.g.,Space Grotesk / Inter / Satoshi),,,,,,
• Variant: 0rbis Core (logo glyph only),,,,,,,
🔥 2. Orbis Forge,,,,,,,
“The intelligence foundry.”,,,,,,,
,,,,,,,
Symbolic of both heat and transformation,Forge reflects a platform where AI and human intent co-create new systems. It's not passive — it’s molten,,,,,,shaping intelligence like ancient smiths shaped metal.
✴️ Core Themes:,,,,,,,
• Techno-alchemy — crafting AI tools from raw prompts and system intent,,,,,,,
• Industrial → Digital revolution parallel,,,,,,,
• Agentic systems forged into tools,protocols,,,,,,workflows
• Signals to founders,builders,,,,,,and creators
🌈 Visual Mood:,,,,,,,
• Warm copper / forged steel tones,,,,,,,
• Hammer-and-spark motifs,,,,,,,
• Glowing ember or furnace-core visuals,,,,,,,
