projectId,projectName,owner,status,description,startDate,endDate,priority,budget,actualCost,estimatedHours,actualHours,completionPercentage,risk,stakeholders,tags,category,department,createdAt,updatedAt,goals,scopeNotes,RAG,isDraft,draftEditedBy,draftEditedAt,subApp_ref,editableByAdmin
OF-SDLC-IMP2,Conversational SDLC Enablement,Jackson,Active,"Implements conversational SDLC orchestration with governance logging, nightly UAT, and post-closure stabilization under OF-8.4.",2025-07-22,2025-08-10,High,5000,1200,120,45,75,Medium,Development Team,"sdlc,governance",infrastructure,Engineering,2025-08-05T01:06:56.547Z,2025-08-05T01:06:56.548Z,,,Green,0,,,,1
WT-DBM-2.0,Database Migration Canonical,system,In Progress,Migrate to canonical 19+10 property schema,2025-08-03,2025-08-10,High,2000,500,40,10,25,Low,Data Team,database,migration,Infrastructure,Engineering,2025-08-04T00:51:58.665Z,,,Green,0,,,,1
WT-UX7,Agent Mesh Visualization,system,Planning,Create live agent mesh visualization for Integrate Surface,2025-01-20,2025-02-15,Medium,3000,0,80,0,0,Medium,Product Team,integration,visualization,Backend,Engineering,2025-08-03T08:12:06.637Z,,,Green,0,,,,1
WT-UX14,Enhanced Sidebar v3.1,system,Completed,Implement three-tier sidebar architecture,2025-01-01,2025-01-15,High,5000,4200,120,115,100,Low,Development Team,ui,navigation,enhancement,Frontend,2025-08-03T08:12:06.630Z,,,Green,0,,,,1
WT-UX13,Unknown Project,Jackson,Completed,,,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,Establish a working connection between ChatGPT (via custom GPT) and the Notion workspace using OpenAPI schema and the new ntn_-based Notion token format.,"🧭 Scope of ImplementationAreaDetailCustom GPT NameNotionGPT Assistant (or as defined by user)Integration TypeAPI Key (Bearer token, using ntn_ token)OpenAPI SchemaImported manually via openapi-with-server.yamlTested Commands✅ List all databases, ✅ Create page, ✅ Update pageSchema CoverageGET /databases, GET/POST/PATCH /pages/{id}",Green,0,,,,1
WT-UX10,Unknown Project,Gizmo,Completed,,,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,"📘 Session Summary
This session exposed critical weaknesses in our Git discipline, recovery architecture, and deployment robustness — undermining MetaPlatform’s core promise of governed, self-healing AI-led development.
Despite setbacks, key components of the system were recovered and validated, including governance-aligned type structures (phase.ts, template.ts), sidebar rendering logic, execution log APIs, and PR policy reinforcements. However, the Project Dashboard layout and sidebar interaction logic remain only partially recovered, with full visual UX still in regression.
This session should serve as a foundational case study for hardening our MetaPlatform infrastructure, both technically and procedurally.","✅ Confirmed IssuesIDIssueImpactStatus001Sidebar commit (64a589c) was unintentionally overwritten🔥 High – loss of working component and visual state logic✅ Recovery complete002Direct push to main bypassed PR review🔥 High – violated SDLC safeguards and broke prod✅ PR policy reinforced003Git commands not guided or owned🔥 High – SDLC risk, accidental loss✅ Gizmo now owns GitOps and PR merges004lucide-react not reinstalled after Claude restore🔥 High – broke Vercel build✅ Fixed via npm install and commit005No CI rule to check for missing dependencies⚠️ Medium – future build risks🔄 Pending CI enhancement006No pre-checkout script or work stash guard⚠️ Medium – context loss risk🔄 Plan for http://wt-safe-checkout.sh/007No GovernanceLog entry created at time of recovery⚠️ Medium – traceability gap✅ Backfilled post-merge008Recovery not recorded in WT Phase Plan⚠️ Medium🔄 Add to WT-5.x or WT-3.x009Project Dashboard UI still regressed🔥 High – lost layout improvements, switching logic🧯 Partial recovery only – major future patch needed
🛠️ Fix Actions TakenActionDescription✅ Created sidebar-recovery-branchRestored logic from 64a589c safely✅ Claude selectively re-integrated sidebar UIRetained Claude scaffold while restoring Roam logic✅ Gizmo permanently assigned as GitOps managerNo Git push/merge without clear instruction✅ Merged fix/ui-dashboard-type-realignPhase types, template types, APIs, and switcher restored✅ GovernanceLog entry pushedTraceability restored✅ WT-3.2 marked completeMetaPlatform backend type recovery milestone locked✅ Dashboard hotfix applied for executionStatus errorFixed runtime crash✅ Restored ProjectSwitcher.tsx from WT-ConsoleHierarchy and UX logic revived✅ Recovered executionLogAPI.ts from 8c36450Full log API functionality restored
🔄 Pending Fixes & ImprovementsIDFixDescriptionF001Finalise Dashboard UI recoveryRestore layout, header, sidebar wiringF002CI rules to block missing depsPrevent repeat of lucide-react issueF003Add http://wt-safe-checkout.sh/Prevent uncommitted changes lossF004Add WT-5.1 PhaseStep for sidebar recoveryPhasePlan traceabilityF005Snapshot CI test for ProjectDashboardCatch blank screens in devF006Review & version all types/* filesLock canonical types per WT versioningF007Reintroduce ProjectSwitcher header UXToggle logic and layout refinementsF008GitHub branch policy enforcementDisallow direct push to main in prod modeF009Design MetaPlatform dashboard RAG panelFor Git/Gizmo status sync visibility
🧠 Optional EnhancementsEnhancementBenefitGit PR automation for ClaudePrevents accidental pushes to mainwt-recovery-checker.tsDetects dangling local commits before they’re lostLive Git/Gizmo sync viewerSee PR, branch, and sync status in dashboardAI-led missing dependency scanPreemptive deploy blocker for npm importsDashboard visual diff checkerCatch layout regressions using Puppeteer snapshots
🧭 MetaPlatform Architectural ImpactAreaRisk if UnresolvedResolutionGit IntegrityMetaPlatform loses control of AI scaffolding✅ Assign GitOps to Gizmo, add PR enforcementDashboard StabilityUser trust erodes due to regressions🔄 Reinforce layout CI testsType CanonicalisationFuture builds regress to older types✅ Phase type repo structure lockedAI Agent TrustAgents cannot bypass governance✅ Claude no longer pushes to mainDeveloper ProductivityHigh churn from code loss✅ Recovery pattern documented, scripts incoming",Green,0,,,,1
WT-UX8,Unknown Project,Gizmo,Planning,,,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,"🎯 Purpose
Address critical UI/UX and automation gaps that prevent Wombat Track + MetaPlatform from matching core features found in top project management platforms (Asana, Monday, Jira, ClickUp, etc.).
This retrofit focuses on visual planning, rule-based automation, and collaboration tooling required to support scalable product and project workflows.","🧱 Scope of WorkGap AreaFeatureDescriptionPriorityLinked WT Concept1. Task Visualization✅ Kanban Board UIDrag-and-drop interface to manage PhaseSteps by StepProgress.statusHighPhaseStep, StepProgress2. Timeline Planning✅ Gantt ViewVisual roadmap of PhaseSteps over time with dependenciesHighPhaseStep, StepProgress, new startDate/dueDate fields3. Basic User Automation⚙️ Rule EngineIF/THEN automation builder for users (e.g., “If Step Blocked → notify + create SideQuest”)HighStepProgress, GovernanceLog, isSideQuest4. Collaboration Layer💬 Comments & MentionsInline comments per Step + @mentionsMediumStepProgress, MeetingLog, GovernanceLog5. Mobile Optimization📱 Responsive UI PlanningReview and adjust for mobile interaction in key viewsMediumAll6. Notification Framework🔔 Alert LogicIn-app + email/slack notifications from Rule EngineMediumCheckpointReview, GovernanceLog7. Multi-Project Timeline🗂️ Cross-Project TimelineTimeline showing all active projects with filtersLowProject, PhaseStep, startDate 🛠️ Data Model UpdatesData TypeNew FieldsPhaseStepstartDate, dueDate, isBlockedStepProgressstatusLastUpdated, lastCommentedByRule (new)triggerType, triggerCondition, actionType, actionPayload, isActiveComment (new)body, createdBy, createdAt, parentType, parentID
📌 Dependencies
• Claude Prompt Dispatcher: available for rule suggestion or automation scaffolding
• DriveMemory & MemoryPlugin: log all user-generated rules and summaries
• GovernanceLog: attach rule outcomes to audit trail
🧠 Opportunity for AgentsAgentRoleRule Suggestion AgentRecommend rules from repeated user behaviourTimeline AnalyzerDetect delays and flag risks in Timeline viewComment SummariserExtract GovernanceLog from user comments/decisionsMobile AI Assistant (future)Suggest next step or action via mobile interface
Created: 2025-07-24
Author: ChatGPT-Gizmo
Project Phase: WT 5.x – UX/Automation Retrofit",Green,0,,,,1
WT-UX12,Unknown Project,Jackson,Completed,"🧠 Core Design Principle: ""Form Follows Governance""
Wombat Track is not just a productivity tool — it's a governance operating system. Therefore:
• Structure and hierarchy are non-negotiable: All projects must follow a Phase → Step → Log structure.
• Traceability is primary UX: Every action (AI prompt, export, phase update) must be logged, visible, and auditable.
• Planning and execution coexist: Wireframes must allow both tactical (Composer, Docs) and operational (Dashboard) views.
🎨 UI/UX Pillars (Mapped from Figma’s Principles)PrincipleApplication in WTHierarchySidebar for project scope → Tabs for function → Cards for content. Always show user where they are and what level of detail they’re seeing.ClarityUse emoji + label combos (e.g., 🟡 Amber) for RAG, short labels, summary text before actions.ConsistencyTabs, cards, headers, filters, and AI buttons use shared design language (rounded corners, small caps, muted foregrounds).EfficiencyOne-click prompts (⚡ Scaffold), inline edits, and context-aware AI actions reduce user effort.ForgivenessAutosave Docs, confirmation modals for dangerous actions, clear status indicators (e.g., “Saving…”).ContextMetadata on every object — a Step knows its Phase, a Doc knows its Project, an AI edit logs its source.Progressive DisclosurePhase collapses to Step list; Composer expands only rows needed; Docs open AI modal when requested.
🔧 Organisational Structure
The app is structured across 3 main tabs, all sharing a project context:
1. 📊 Dashboard Tab (Execution Surface)
    ◦ Visualise current project Phase/Step status.
    ◦ See RAG status, step checklists, blockers, and what’s complete.
    ◦ Embed Governance Logs (future).
2. 🧱 Composer Tab (Planning Surface)
    ◦ Feature matrix: breakdown, RAG, owners, AI tooling.
    ◦ Connects to Phase generation and Docs.
    ◦ Serves as a hybrid backlog / roadmap / planning surface.
3. 📘 Docs Tab (Knowledge Surface)
    ◦ Create/edit documents linked to projects and phases.
    ◦ Metadata: docType, tags, related items.
    ◦ Launch AI modal (Scaffold SOP, Revise, Summarise).
    ◦ Export to Markdown / Drive / MemoryPlugin (future native RAG Memory).",,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,"Purpose:
Wombat Track (WT) is an intelligent, AI-augmented platform for planning, executing, and governing complex multi-phase projects. It integrates SDLC principles, real-time progress tracking, rich documentation, and Claude/Gizmo agentic workflows. The platform must empower teams to work transparently, efficiently, and with traceable automation from planning to deployment.","🚀 Forward Guidance
• PhasePlan should link directly to Docs + Composer: Each Phase gets its own Overview Doc; Steps auto-generate Docs/Logs.
• Governance should be visible, not buried: Add Governance Log tab or modal.
• Introduce modular “widgets” for status cards, RAG, AI buttons to allow reuse in all tabs.
• Filter/Sort across all views by RAG, project, owner, etc.",Green,0,,,,1
WT-UX9,Unknown Project,Claude,Planning,,,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,"📁 Context: WT Docs Module has been implemented with a native Tiptap editor, mock AI, and initial metadata handling. ","🔍 Metadata Schema Audit — DocsEntryFieldTypeSourceCompletionNotestitlestringUser input✅docTypeenumDropdown (SOP, Template, etc.)✅contentrich text (Tiptap JSON)Editor✅tags[string]Tag editor🧪 Needs global tag autocompleterelatedProjectIdstring?Selector✅relatedPhaseIdstring?Selector✅relatedFeatureIdstring?Selector✅memoryAnchorIdstring?Auto-generated🔜driveLinkstring?Auto on export🔜createdByUserAuth session✅lastUpdateddatetimeAuto✅versionintInternal⏳ Suggested
🔄 Proposed Groupings (Docs Dashboard Filters)FilterValuesRequired?DocTypeSOP, Project Spec, Checklist, Template✅ProjectAll WT projects✅PhaseLinked phases✅FeatureComposer features✅TagsCustom tags🧪
🧱 Infrastructure DependenciesServiceRequired ForNotesClaude (live)AI editing, summarising, scaffoldingUse Claude Dispatcher endpointDriveMemoryBackup + versioned doc archiveMust support .md + metadataMemoryPluginAnchors for long-term recallWill be replaced by WT-native RAGGovernanceLogAll actions + versionsCore WT integrationWT AuthPermissions / user-based accessEnforce view/edit rightsOptional: NotionExport index + MD filesConsider backup only",Green,0,,,,1
WT-UX16,Unknown Project,Claude,Completed,"This document summarizes the implementation and governance outcomes of WT Phase 3.x, covering Phases WT-3.0 to WT-3.3. 
📎 Completed Supporting Actions
• ✅ Schema enhancements: phaseType, phaseOwner, ragStatus fields added
• ✅ PhaseMetadataModal created with edit/save/governance-log support
• ✅ GovernanceLog API wired to UI metadata edits
• ✅ Filtering and badges added to PhasePlanDashboard
• ✅ WT-3.1 to WT-3.3 added to seedPhaseTracker.ts
• ✅ Claude commit: Add WT-3.1 to WT-3.3 seed data with enhanced metadata and steps
🧭 Next Recommended ActionsActionResponsibleStatusComplete RAG logging logic for test failuresClaude🔄 In ProgressBuild MetaValidator engine and test hookClaude🔲 PlannedEnable GovernanceLog summarisation agentGizmo🔲 PlannedGenerate WT-3.4 (Template Wizard Phase Plan)Gizmo🔲 PlannedPush Phase 3.x artefact to DriveMemoryGizmo✅ Done (JSON provided)Add MemoryPlugin anchor for WT Phase 3.xGizmo✅ Done
🔁 Side Quests SummarySide QuestPhaseStatusNotesPuppeteer visual diff utilityWT-3.1🔲 PlannedOptional enhancement for visual QALegacy deploy script cleanupWT-3.2✅ CompleteReplaced with reusable CI templatesPrompt scaffolder for MetaValidatorWT-3.3🔲 PlannedWill enrich feedback loop for failed validations
🧠 Governance Note
Phase 3.x marks the first successful loop of planning → implementation → metadata capture → governance logging within the WT system. This model now serves as a baseline template for future Project → Phase → Step plans, including auto-generation and AI agent interaction.",,,Medium,0,0,0,0,0,Medium,,,,,2025-08-03 09:16:50,2025-08-03 09:16:50,"The purpose of Phase 3.x is to establish robust developer infrastructure, CI/CD automation, and governance-enforced quality controls across the Wombat Track platform.
🧭 Purpose
This Phase 3.x plan focuses on improving the internal tooling and delivery pipeline of the Wombat Track (WT) system. It consolidates infrastructure, formalises testing and deployment workflows, introduces meta-level error detection, and prepares the WT app for scale by improving developer reliability, clarity, and governance.
This phase supports both:
• WombatConsole (Execution Layer)
• MetaPlatform (Governance Layer)
🛠️ Goals
1. Establish full pre-deployment test infrastructure.
2. Create a WT MetaValidator for governance and code review enforcement.
3. Migrate and formalise existing CI/CD steps into tracked, actionable phases.
4. Ensure all failures in dev/deploy workflows trigger structured diagnostics and task creation.","🧠 Development Philosophy
• Governance-aware SDLC: Treat the WT console as a self-documenting, auditable platform
• Developer UX: Surface test failures and RAG state in human-readable formats
• Meta-awareness: Allow the system to reflect on its own health
🧩 Governance Structure
• Each project must:

    ◦ Include markdown-based phase plan
    ◦ Use validated project > phase > step structure
    ◦ Be tagged with WT type, owner, and color
    ◦ Have minimum 1 phase and 2 steps
🔗 Resources
• https://github.com/jtaylorcomplize/wombat-track-scaffold/tree/main/tests/ui/meta_platform_dashboard.spec.js
• https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/dev/seedPhaseTracker.ts
• https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/components/project/PhasePlanDashboard.tsx
🔍 Next Steps – Requirements Questions for WT-3.3 and Beyond
❓ WT-3.3 – MetaValidator
1. Scope: Should the validator scan only code, or also project/phase markdown?
2. Failure Handling: Do you want it to create task records (or execution logs) on error?
3. Blocking: Should it block commits/deploys or warn only?
❓ WT-3.4 – Guided Project Template
1. Should new projects auto-fill with the full phase markdown (like this doc)?
2. Should there be a modal UI or full-page wizard for creation?
3. Do we allow choosing template type (e.g. PlatformOps, Console, Product)?
❓ WT-3.5 – Guided Phase Creation
1. When creating a new Phase, what questions must be asked?
2. Should side quests be encouraged at this point?
3. What metadata must be defined before allowing step creation?
❓ WT-3.6+ – MetaReflections Engine
1. Should recurring failures auto-generate ""Reflections"" (e.g. Phase failed X times)?
2. Do we want analytics around phase health (completion rates, RAG trends)?
3. Should Reflections generate suggested planning comments for future phases?
📦 Ready for Template Packaging
This document format can now be used to create:
• Project-level markdown on creation
• Phase summary initialiser
• Planning dashboard views (read-only or editable)
Let me know when to:
1. Add this to src/templates/wt-phase-plan.md
2. Begin implementing WT-3.4 template project creation wizard
3. Push this doc to MemoryPlugin + GitHub/Drive export """"""",Green,0,,,,1
