Title,projectID,status,goals,description,aiPromptLog,keyTasks,tags,scopeNotes,Phase,WT PhaseStep Database,StepProgress,MeetingLog,GovLog,CheckpointReview,claude-gizmo-exchange,createdAt,updatedAt,owner
Agent Mesh Visualisation (Integrate Surface),WT-UX7,Planning,"🌟 Purpose
To create a live, visually interactive map of all system agents, tools, and services within Wombat Track. This will:
• Show directional capabilities (read, write, dispatch)
• Clarify runtime agent orchestration
• Support debugging, governance, and future system design
⚠️ This component will ultimately serve as the visual layer for agent interactions inside the broader MetaPlatform Dashboard.","📘 Overview
The Agent Mesh will be embedded in the Integrate Surface (OrbisDashboard) and act as an interactive diagram of all agent connections and system interactions.
It supports the broader WT goals of:
• AI-agent governance
• Runtime introspection
• Traceable system design
• Live debugging and audit visibility",,,,"⚙️ SDLC & Tooling
📁 Repositories Affected
• wombat-track-scaffold
• wt-meta-platform (if external dispatcher hooks used)
🔧 TechnologiesStackUseReactFrontend UIMermaid.js or D3.jsDiagram generationTypeScriptComponent typing and JSON definitionsNode.jsOptional hooks / runtime data polling
♻️ CI/CD PipelinesWorkflowDescriptionci.ymlEnsures build integrity of new componentsclaude-scaffold-enhanced.ymlCan generate JSON from Claude if neededintegration-map-test.yml(Future) CI test for valid node and edge schema
🧠 Governance Logs
All work on this feature will be documented under the following GovernanceLog entries:
• Agent Mesh Proposal (Decision)
• Phase 1 Completion – Static Diagram (Review)
• Phase 2 Completion – Dynamic Mesh Component (Review + Change)
• Mesh Overlay Styling Updates (Change)
• Agent Mesh designated as visual layer inside MetaPlatform (Decision)
🔒 Security & Integrity Considerations
• No runtime write actions in Phase 1–2
• Phase 3 will need permission guards if live write actions are exposed (e.g., dispatch)
• Metadata logs must be filtered before public display
📌 Dependencies
• Claude Dispatcher must expose endpoint status (Phase 3)
• Metadata fields for agent capability must be defined in AgentDefinition.ts
• Runtime sync (optional) requires queue access or polling API
✅ Completion Checklist (per phase)
🔚 Output Location
• AgentMesh.tsx (React)
• integrationMap.json (config/registry)
• http://agentmesh.md/ (governance artefact)
♻️ Versioning
• v0.1: Static Diagram Complete
• v1.0: Interactive Component Live in UI
• v1.1: Status and Semantic Tag overlays enabled
• v1.2: Runtime sync (optional)
• v2.0: Embedded as interactive module in MetaPlatformDashboard","Static Diagram Prototype (https://www.notion.so/Static-Diagram-Prototype-23ee1901e36e80e7a717cb3bd034c5fa?pvs=21), Dynamic Component (React) (https://www.notion.so/Dynamic-Component-React-23ee1901e36e80e2ad01ee36ceb40673?pvs=21), Live Status + Semantic Tags (https://www.notion.so/Live-Status-Semantic-Tags-23ee1901e36e80e7922bedc090e8c84e?pvs=21), MetaPlatform Dashboard Embedding (https://www.notion.so/MetaPlatform-Dashboard-Embedding-23ee1901e36e80c8a0f2c6056cc95199?pvs=21)",,,,,,,"July 28, 2025 12:08 PM","July 29, 2025 2:41 PM",Claude
AI Integration – NotionGPT Connection,WT-UX13,Completed,Establish a working connection between ChatGPT (via custom GPT) and the Notion workspace using OpenAPI schema and the new ntn_-based Notion token format.,,,,,"🧭 Scope of ImplementationAreaDetailCustom GPT NameNotionGPT Assistant (or as defined by user)Integration TypeAPI Key (Bearer token, using ntn_ token)OpenAPI SchemaImported manually via openapi-with-server.yamlTested Commands✅ List all databases, ✅ Create page, ✅ Update pageSchema CoverageGET /databases, GET/POST/PATCH /pages/{id}",,,,,AI Integration - NotionGPT Connection (https://www.notion.so/AI-Integration-NotionGPT-Connection-23ee1901e36e8003b8bcfecd599f1444?pvs=21),,,"July 28, 2025 10:23 AM","July 29, 2025 2:41 PM",Jackson
CI/CD Implementation,WT-UX10,Completed,"📘 Session Summary
This session exposed critical weaknesses in our Git discipline, recovery architecture, and deployment robustness — undermining MetaPlatform’s core promise of governed, self-healing AI-led development.
Despite setbacks, key components of the system were recovered and validated, including governance-aligned type structures (phase.ts, template.ts), sidebar rendering logic, execution log APIs, and PR policy reinforcements. However, the Project Dashboard layout and sidebar interaction logic remain only partially recovered, with full visual UX still in regression.
This session should serve as a foundational case study for hardening our MetaPlatform infrastructure, both technically and procedurally.",,,,,"✅ Confirmed IssuesIDIssueImpactStatus001Sidebar commit (64a589c) was unintentionally overwritten🔥 High – loss of working component and visual state logic✅ Recovery complete002Direct push to main bypassed PR review🔥 High – violated SDLC safeguards and broke prod✅ PR policy reinforced003Git commands not guided or owned🔥 High – SDLC risk, accidental loss✅ Gizmo now owns GitOps and PR merges004lucide-react not reinstalled after Claude restore🔥 High – broke Vercel build✅ Fixed via npm install and commit005No CI rule to check for missing dependencies⚠️ Medium – future build risks🔄 Pending CI enhancement006No pre-checkout script or work stash guard⚠️ Medium – context loss risk🔄 Plan for http://wt-safe-checkout.sh/007No GovernanceLog entry created at time of recovery⚠️ Medium – traceability gap✅ Backfilled post-merge008Recovery not recorded in WT Phase Plan⚠️ Medium🔄 Add to WT-5.x or WT-3.x009Project Dashboard UI still regressed🔥 High – lost layout improvements, switching logic🧯 Partial recovery only – major future patch needed
🛠️ Fix Actions TakenActionDescription✅ Created sidebar-recovery-branchRestored logic from 64a589c safely✅ Claude selectively re-integrated sidebar UIRetained Claude scaffold while restoring Roam logic✅ Gizmo permanently assigned as GitOps managerNo Git push/merge without clear instruction✅ Merged fix/ui-dashboard-type-realignPhase types, template types, APIs, and switcher restored✅ GovernanceLog entry pushedTraceability restored✅ WT-3.2 marked completeMetaPlatform backend type recovery milestone locked✅ Dashboard hotfix applied for executionStatus errorFixed runtime crash✅ Restored ProjectSwitcher.tsx from WT-ConsoleHierarchy and UX logic revived✅ Recovered executionLogAPI.ts from 8c36450Full log API functionality restored
🔄 Pending Fixes & ImprovementsIDFixDescriptionF001Finalise Dashboard UI recoveryRestore layout, header, sidebar wiringF002CI rules to block missing depsPrevent repeat of lucide-react issueF003Add http://wt-safe-checkout.sh/Prevent uncommitted changes lossF004Add WT-5.1 PhaseStep for sidebar recoveryPhasePlan traceabilityF005Snapshot CI test for ProjectDashboardCatch blank screens in devF006Review & version all types/* filesLock canonical types per WT versioningF007Reintroduce ProjectSwitcher header UXToggle logic and layout refinementsF008GitHub branch policy enforcementDisallow direct push to main in prod modeF009Design MetaPlatform dashboard RAG panelFor Git/Gizmo status sync visibility
🧠 Optional EnhancementsEnhancementBenefitGit PR automation for ClaudePrevents accidental pushes to mainwt-recovery-checker.tsDetects dangling local commits before they’re lostLive Git/Gizmo sync viewerSee PR, branch, and sync status in dashboardAI-led missing dependency scanPreemptive deploy blocker for npm importsDashboard visual diff checkerCatch layout regressions using Puppeteer snapshots
🧭 MetaPlatform Architectural ImpactAreaRisk if UnresolvedResolutionGit IntegrityMetaPlatform loses control of AI scaffolding✅ Assign GitOps to Gizmo, add PR enforcementDashboard StabilityUser trust erodes due to regressions🔄 Reinforce layout CI testsType CanonicalisationFuture builds regress to older types✅ Phase type repo structure lockedAI Agent TrustAgents cannot bypass governance✅ Claude no longer pushes to mainDeveloper ProductivityHigh churn from code loss✅ Recovery pattern documented, scripts incoming",,,,,CI/CD Implementation (https://www.notion.so/CI-CD-Implementation-23ee1901e36e808e8dfaed12e277d728?pvs=21),,,"July 28, 2025 10:35 AM","July 29, 2025 2:41 PM",Gizmo
Core Feature Retrofit,WT-UX8,Planning,"🎯 Purpose
Address critical UI/UX and automation gaps that prevent Wombat Track + MetaPlatform from matching core features found in top project management platforms (Asana, Monday, Jira, ClickUp, etc.).
This retrofit focuses on visual planning, rule-based automation, and collaboration tooling required to support scalable product and project workflows.",,,,,"🧱 Scope of WorkGap AreaFeatureDescriptionPriorityLinked WT Concept1. Task Visualization✅ Kanban Board UIDrag-and-drop interface to manage PhaseSteps by StepProgress.statusHighPhaseStep, StepProgress2. Timeline Planning✅ Gantt ViewVisual roadmap of PhaseSteps over time with dependenciesHighPhaseStep, StepProgress, new startDate/dueDate fields3. Basic User Automation⚙️ Rule EngineIF/THEN automation builder for users (e.g., “If Step Blocked → notify + create SideQuest”)HighStepProgress, GovernanceLog, isSideQuest4. Collaboration Layer💬 Comments & MentionsInline comments per Step + @mentionsMediumStepProgress, MeetingLog, GovernanceLog5. Mobile Optimization📱 Responsive UI PlanningReview and adjust for mobile interaction in key viewsMediumAll6. Notification Framework🔔 Alert LogicIn-app + email/slack notifications from Rule EngineMediumCheckpointReview, GovernanceLog7. Multi-Project Timeline🗂️ Cross-Project TimelineTimeline showing all active projects with filtersLowProject, PhaseStep, startDate 🛠️ Data Model UpdatesData TypeNew FieldsPhaseStepstartDate, dueDate, isBlockedStepProgressstatusLastUpdated, lastCommentedByRule (new)triggerType, triggerCondition, actionType, actionPayload, isActiveComment (new)body, createdBy, createdAt, parentType, parentID
📌 Dependencies
• Claude Prompt Dispatcher: available for rule suggestion or automation scaffolding
• DriveMemory & MemoryPlugin: log all user-generated rules and summaries
• GovernanceLog: attach rule outcomes to audit trail
🧠 Opportunity for AgentsAgentRoleRule Suggestion AgentRecommend rules from repeated user behaviourTimeline AnalyzerDetect delays and flag risks in Timeline viewComment SummariserExtract GovernanceLog from user comments/decisionsMobile AI Assistant (future)Suggest next step or action via mobile interface
Created: 2025-07-24
Author: ChatGPT-Gizmo
Project Phase: WT 5.x – UX/Automation Retrofit","Kanban & Timeline Foundations
 (https://www.notion.so/Kanban-Timeline-Foundations-23ee1901e36e8029b872d335ea0afbaf?pvs=21), Rule Engine MVP (https://www.notion.so/Rule-Engine-MVP-23ee1901e36e80d8ae06df2d59e69421?pvs=21), Collaboration & Alert (https://www.notion.so/Collaboration-Alert-23ee1901e36e8058b9c7de84e9d47989?pvs=21), Mobile + Cross Project (https://www.notion.so/Mobile-Cross-Project-23ee1901e36e80d1ac32f9e246102af9?pvs=21), GizmoConsole UI Integration  (https://www.notion.so/GizmoConsole-UI-Integration-23ce1901e36e81739ddce013d7c00113?pvs=21), GovernanceLog Hook (https://www.notion.so/GovernanceLog-Hook-23ce1901e36e814391ccf17ab38e1749?pvs=21), Real-Time Dispatch (https://www.notion.so/Real-Time-Dispatch-23ce1901e36e81f1960cdba8d0f8fb70?pvs=21), Slash Command + Memory Ops (https://www.notion.so/Slash-Command-Memory-Ops-23ce1901e36e81898851ccfef6aac38b?pvs=21)",,,,,,,"July 28, 2025 10:52 AM","July 29, 2025 2:41 PM",Gizmo
Design Principles,WT-UX12,Completed,"Purpose:
Wombat Track (WT) is an intelligent, AI-augmented platform for planning, executing, and governing complex multi-phase projects. It integrates SDLC principles, real-time progress tracking, rich documentation, and Claude/Gizmo agentic workflows. The platform must empower teams to work transparently, efficiently, and with traceable automation from planning to deployment.","🧠 Core Design Principle: ""Form Follows Governance""
Wombat Track is not just a productivity tool — it's a governance operating system. Therefore:
• Structure and hierarchy are non-negotiable: All projects must follow a Phase → Step → Log structure.
• Traceability is primary UX: Every action (AI prompt, export, phase update) must be logged, visible, and auditable.
• Planning and execution coexist: Wireframes must allow both tactical (Composer, Docs) and operational (Dashboard) views.
🎨 UI/UX Pillars (Mapped from Figma’s Principles)PrincipleApplication in WTHierarchySidebar for project scope → Tabs for function → Cards for content. Always show user where they are and what level of detail they’re seeing.ClarityUse emoji + label combos (e.g., 🟡 Amber) for RAG, short labels, summary text before actions.ConsistencyTabs, cards, headers, filters, and AI buttons use shared design language (rounded corners, small caps, muted foregrounds).EfficiencyOne-click prompts (⚡ Scaffold), inline edits, and context-aware AI actions reduce user effort.ForgivenessAutosave Docs, confirmation modals for dangerous actions, clear status indicators (e.g., “Saving…”).ContextMetadata on every object — a Step knows its Phase, a Doc knows its Project, an AI edit logs its source.Progressive DisclosurePhase collapses to Step list; Composer expands only rows needed; Docs open AI modal when requested.
🔧 Organisational Structure
The app is structured across 3 main tabs, all sharing a project context:
1. 📊 Dashboard Tab (Execution Surface)
    ◦ Visualise current project Phase/Step status.
    ◦ See RAG status, step checklists, blockers, and what’s complete.
    ◦ Embed Governance Logs (future).
2. 🧱 Composer Tab (Planning Surface)
    ◦ Feature matrix: breakdown, RAG, owners, AI tooling.
    ◦ Connects to Phase generation and Docs.
    ◦ Serves as a hybrid backlog / roadmap / planning surface.
3. 📘 Docs Tab (Knowledge Surface)
    ◦ Create/edit documents linked to projects and phases.
    ◦ Metadata: docType, tags, related items.
    ◦ Launch AI modal (Scaffold SOP, Revise, Summarise).
    ◦ Export to Markdown / Drive / MemoryPlugin (future native RAG Memory).",,,,"🚀 Forward Guidance
• PhasePlan should link directly to Docs + Composer: Each Phase gets its own Overview Doc; Steps auto-generate Docs/Logs.
• Governance should be visible, not buried: Add Governance Log tab or modal.
• Introduce modular “widgets” for status cards, RAG, AI buttons to allow reuse in all tabs.
• Filter/Sort across all views by RAG, project, owner, etc.","Orbis Design (https://www.notion.so/Orbis-Design-23ee1901e36e8008bceee535caef4acd?pvs=21), Logo Vision (https://www.notion.so/Logo-Vision-23ee1901e36e8039958bcd093f11944d?pvs=21), Logo and Brand visual identity (https://www.notion.so/Logo-and-Brand-visual-identity-23ee1901e36e808995abd2389e83375c?pvs=21), Wireframes (https://www.notion.so/Wireframes-23ee1901e36e804abc44e05bb8bba397?pvs=21)",,,,,,,"July 28, 2025 10:32 AM","July 29, 2025 2:41 PM",Jackson
Docs Module,WT-UX9,Planning,"📁 Context: WT Docs Module has been implemented with a native Tiptap editor, mock AI, and initial metadata handling. ",,,,,"🔍 Metadata Schema Audit — DocsEntryFieldTypeSourceCompletionNotestitlestringUser input✅docTypeenumDropdown (SOP, Template, etc.)✅contentrich text (Tiptap JSON)Editor✅tags[string]Tag editor🧪 Needs global tag autocompleterelatedProjectIdstring?Selector✅relatedPhaseIdstring?Selector✅relatedFeatureIdstring?Selector✅memoryAnchorIdstring?Auto-generated🔜driveLinkstring?Auto on export🔜createdByUserAuth session✅lastUpdateddatetimeAuto✅versionintInternal⏳ Suggested
🔄 Proposed Groupings (Docs Dashboard Filters)FilterValuesRequired?DocTypeSOP, Project Spec, Checklist, Template✅ProjectAll WT projects✅PhaseLinked phases✅FeatureComposer features✅TagsCustom tags🧪
🧱 Infrastructure DependenciesServiceRequired ForNotesClaude (live)AI editing, summarising, scaffoldingUse Claude Dispatcher endpointDriveMemoryBackup + versioned doc archiveMust support .md + metadataMemoryPluginAnchors for long-term recallWill be replaced by WT-native RAGGovernanceLogAll actions + versionsCore WT integrationWT AuthPermissions / user-based accessEnforce view/edit rightsOptional: NotionExport index + MD filesConsider backup only","Doc Module Implementation (https://www.notion.so/Doc-Module-Implementation-23ee1901e36e80d4a9b5c6191e497225?pvs=21), Doc Module Enhancements (https://www.notion.so/Doc-Module-Enhancements-23ee1901e36e80579e50d9411285219e?pvs=21)",,,,,,,"July 28, 2025 10:40 AM","July 29, 2025 2:41 PM",Claude
"Infrastructure, CI/CD",WT-UX16,Completed,"The purpose of Phase 3.x is to establish robust developer infrastructure, CI/CD automation, and governance-enforced quality controls across the Wombat Track platform.
🧭 Purpose
This Phase 3.x plan focuses on improving the internal tooling and delivery pipeline of the Wombat Track (WT) system. It consolidates infrastructure, formalises testing and deployment workflows, introduces meta-level error detection, and prepares the WT app for scale by improving developer reliability, clarity, and governance.
This phase supports both:
• WombatConsole (Execution Layer)
• MetaPlatform (Governance Layer)
🛠️ Goals
1. Establish full pre-deployment test infrastructure.
2. Create a WT MetaValidator for governance and code review enforcement.
3. Migrate and formalise existing CI/CD steps into tracked, actionable phases.
4. Ensure all failures in dev/deploy workflows trigger structured diagnostics and task creation.","This document summarizes the implementation and governance outcomes of WT Phase 3.x, covering Phases WT-3.0 to WT-3.3. 
📎 Completed Supporting Actions
• ✅ Schema enhancements: phaseType, phaseOwner, ragStatus fields added
• ✅ PhaseMetadataModal created with edit/save/governance-log support
• ✅ GovernanceLog API wired to UI metadata edits
• ✅ Filtering and badges added to PhasePlanDashboard
• ✅ WT-3.1 to WT-3.3 added to seedPhaseTracker.ts
• ✅ Claude commit: Add WT-3.1 to WT-3.3 seed data with enhanced metadata and steps
🧭 Next Recommended ActionsActionResponsibleStatusComplete RAG logging logic for test failuresClaude🔄 In ProgressBuild MetaValidator engine and test hookClaude🔲 PlannedEnable GovernanceLog summarisation agentGizmo🔲 PlannedGenerate WT-3.4 (Template Wizard Phase Plan)Gizmo🔲 PlannedPush Phase 3.x artefact to DriveMemoryGizmo✅ Done (JSON provided)Add MemoryPlugin anchor for WT Phase 3.xGizmo✅ Done
🔁 Side Quests SummarySide QuestPhaseStatusNotesPuppeteer visual diff utilityWT-3.1🔲 PlannedOptional enhancement for visual QALegacy deploy script cleanupWT-3.2✅ CompleteReplaced with reusable CI templatesPrompt scaffolder for MetaValidatorWT-3.3🔲 PlannedWill enrich feedback loop for failed validations
🧠 Governance Note
Phase 3.x marks the first successful loop of planning → implementation → metadata capture → governance logging within the WT system. This model now serves as a baseline template for future Project → Phase → Step plans, including auto-generation and AI agent interaction.",,,,"🧠 Development Philosophy
• Governance-aware SDLC: Treat the WT console as a self-documenting, auditable platform
• Developer UX: Surface test failures and RAG state in human-readable formats
• Meta-awareness: Allow the system to reflect on its own health
🧩 Governance Structure
• Each project must:

    ◦ Include markdown-based phase plan
    ◦ Use validated project > phase > step structure
    ◦ Be tagged with WT type, owner, and color
    ◦ Have minimum 1 phase and 2 steps
🔗 Resources
• https://github.com/jtaylorcomplize/wombat-track-scaffold/tree/main/tests/ui/meta_platform_dashboard.spec.js
• https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/dev/seedPhaseTracker.ts
• https://github.com/jtaylorcomplize/wombat-track-scaffold/blob/main/src/components/project/PhasePlanDashboard.tsx
🔍 Next Steps – Requirements Questions for WT-3.3 and Beyond
❓ WT-3.3 – MetaValidator
1. Scope: Should the validator scan only code, or also project/phase markdown?
2. Failure Handling: Do you want it to create task records (or execution logs) on error?
3. Blocking: Should it block commits/deploys or warn only?
❓ WT-3.4 – Guided Project Template
1. Should new projects auto-fill with the full phase markdown (like this doc)?
2. Should there be a modal UI or full-page wizard for creation?
3. Do we allow choosing template type (e.g. PlatformOps, Console, Product)?
❓ WT-3.5 – Guided Phase Creation
1. When creating a new Phase, what questions must be asked?
2. Should side quests be encouraged at this point?
3. What metadata must be defined before allowing step creation?
❓ WT-3.6+ – MetaReflections Engine
1. Should recurring failures auto-generate ""Reflections"" (e.g. Phase failed X times)?
2. Do we want analytics around phase health (completion rates, RAG trends)?
3. Should Reflections generate suggested planning comments for future phases?
📦 Ready for Template Packaging
This document format can now be used to create:
• Project-level markdown on creation
• Phase summary initialiser
• Planning dashboard views (read-only or editable)
Let me know when to:
1. Add this to src/templates/wt-phase-plan.md
2. Begin implementing WT-3.4 template project creation wizard
3. Push this doc to MemoryPlugin + GitHub/Drive export """"""","Arch Reconciliation (https://www.notion.so/Arch-Reconciliation-23ee1901e36e806493c6f24dad429d82?pvs=21), Adv Testing Infra (https://www.notion.so/Adv-Testing-Infra-23ee1901e36e807fa714fb0900410176?pvs=21), CI/CD Pipeline Mig (https://www.notion.so/CI-CD-Pipeline-Mig-23ee1901e36e8041ac18f288681bad45?pvs=21), MetaValidator Sys (https://www.notion.so/MetaValidator-Sys-23ee1901e36e80b8b3ead159c93c6bb1?pvs=21)",,,,Phase 3.x (https://www.notion.so/Phase-3-x-23de1901e36e8079bc5ae7ff40607347?pvs=21),,,"July 27, 2025 10:12 PM","July 29, 2025 2:42 PM",Claude
Integrate Surface,WT-UX14,Completed,"Future expansions will include:
• Agent RAG status
• Live dispatch triggers
• MemoryPlugin controls
• GPT/Claude model switches
• Integration maps (Drive, GitHub, Notion)","The MetaPlatform Dashboard is the internal admin surface for the AI-powered system layer that governs Wombat Track and its subcomponents (e.g. Docs Module, Phase Tracker, DriveMemory, Claude dispatchers).
It serves as:
• A control tower for system status, agent dispatches, memory sync, and module health
• The operational cockpit for MetaPlatform-level services
• The foundation for future agent deployment, governance alerts, and module orchestration","## 🧑‍💻 Claude Prompt: Create Branch + Scaffold MetaPlatformDashboard.tsx

CLAUDE TASK: Begin next development cycle for Wombat Track MetaPlatform.

🎯 GOAL:

Scaffold the MetaPlatformDashboard.tsx Work Surface for internal system control view.

🧱 STEPS:

1. ✅ Create new feature branch:

```bash

git checkout main

git pull origin main

git checkout -b feature/meta-platform-dashboard

1. ✅ Create new file:

Path: src/components/surfaces/MetaPlatformDashboard.tsx

2. 🧩 Component should include:
- Page title: “MetaPlatform Dashboard”
- Work Surface header consistent with other surfaces (BreadcrumbHeader, PhaseCard layout)
- Status Cards for:
- MemoryPlugin connection
- DriveMemory sync
- Docs Module state
- Claude Dispatcher health
- GitHub API state
- ClaudePromptButton at top for ""Analyze MetaPlatform""
- Empty placeholder blocks for:
- Module Tracker
- Agent Status
- Governance Sync logs
1. 🎨 Styling:
- Use “violet” theme for MetaPlatform
- Tailwind + status color logic consistent with Orbis v2.0
- Responsive layout (2x2 grid + expand/collapse sections)
1. 📘 Phase/Feature Mapping:
- Phase: WT-5.1 – MetaPlatform Dashboard
- FeatureRef: MetaPlatformDashboard-v1.0
- Metadata: ""tags"": ""dashboard, metaplatform, governance, system-health, claude, memory""

Once scaffolding complete, return full file for review and integration into breadcrumb routing and AppLayout.tsx switch.

🧠 Claude should log all key changes for MemoryPlugin + GovernanceLog export.",,,"💻 What the Dashboard Will Include (v1.0 Scope)AreaFeature🎛️ Overview CardsStatus of MemoryPlugin, Claude, GitHub, CI/CD🧠 Agent TrackerWhich agents are active (e.g. ClaudeOps, GitMemoryAgent)🗃️ Modules ViewDocs Module, Phase Tracker, Orbis Integration health🔁 Dispatch LogsClaude prompts, actions, API sync logs🚦 System HealthMemory sync state, schema compliance, error flags
Future expansions will include:
• Agent RAG status
• Live dispatch triggers
• MemoryPlugin controls
• GPT/Claude model switches
• Integration maps (Drive, GitHub, Notion)",,,,,,,,"July 28, 2025 10:20 AM","July 29, 2025 2:41 PM",Gizmo
Post-mortem - sidebar rendering failure,WT-UX11,Completed,"❌ Incident Summary
Despite multiple implementation attempts, the ProjectSidebar component in the /phase-plan view rendered with layout and nesting failures. Interactive elements functioned, but the visual alignment, spacing, and hierarchy were broken.","🧠 Root Cause Analysis
• Snapshot Tests False Positive: Puppeteer baseline captured broken layout.
• Inconsistent Tailwind Usage: flex, items-center, pl-* spacing improperly applied.
• Disclosure Nesting Not Componentised: No reusable SidebarItem abstraction.
• Lack of Dynamic DOM Visual Diffing: Puppeteer not sufficient for nuanced visual QA.
• Prompt/Dev Drift: Code complexity diverged from original SDLC simplicity goals.
✅ What Worked
• CI build pipeline, tsc checks, and snapshot tests were executed.
• GovernanceLog tracked initial failures.
• Copilot-generated fallback layout provided a working, clean design.
📎 Resolution
• ✅ Replaced broken layout with Copilot fallback structure.
• ✅ Adopted reusable SidebarItem abstraction.
• ✅ Visual hierarchy and spacing repaired.
• ✅ Snapshot QA rebuilt using correct baseline.",,,,"🛠️ WT-3.7 – Visual QA & Layout Recovery Phase
🧭 Purpose
Recover from ProjectSidebar layout failure and introduce robust QA, test coverage, and layout validation frameworks to prevent similar visual regressions.
🧱 Key DeliverablesStepDescriptionOwnerStatus1Replace sidebar with canonical SidebarItem abstractionClaude✅ Complete2Refactor layout using flexbox, spacing utilities, DisclosureClaude✅ Complete3Add Playwright or Percy for DOM-based visual diffingClaude🔲 Planned4Rebuild Puppeteer snapshot baselineClaude✅ Complete5Add Gizmo verification checkpoint to sidebar PRsGizmo🔲 Planned6Require real human/Gizmo validation in WT QA cycleGizmo🔲 Planned7Commit this post-mortem as governance artefactGizmo✅ Complete8Align WT SDLC prompts with code simplicity principlesGizmo🔲 In Progress9Integrate image-based QA workflows into SDLC SOPsGizmo✅ Complete10Propose future investigation of Claude Code deep capabilities for layout debugging, intermodal coordination, and visual regression testingGizmo🔲 Planned","Post-Mortem - regression analysis (https://www.notion.so/Post-Mortem-regression-analysis-23ee1901e36e80999481e6d81baeda83?pvs=21), Post Mortem - rectify (https://www.notion.so/Post-Mortem-rectify-23ee1901e36e80358511f9b3710e690d?pvs=21)",,,,Post-mortem: Sidebar Rendering Failure (https://www.notion.so/Post-mortem-Sidebar-Rendering-Failure-23ee1901e36e80c986f7ce91271f6bc5?pvs=21),,,"July 28, 2025 10:32 AM","July 29, 2025 2:41 PM",Claude
WT AI Collaboration,WT-UX5,Completed,Establish base line for AI collaboration,"🧪 Tooling Recommendation (as a New Dev)ToolUse It ForWhy You Need ItVS CodeLocal editing, pushing commits, live repo viewIt's your main cockpit. You already use it well.GitHub WebReviewing commits, PRs, file diffsEasy to scan changes and accept PRsClaudeRepo changes, pushing updates, AI code generationConnected to your GitHub — fast builderGizmo (ChatGPT)System design, QA, debugging, step-by-step helpStructured, persistent memory, reliable architectural oversightTerminal (optional)Git troubleshooting, advanced devOnly if needed — VS Code handles 90% already
🗂️ Suggested File Adds to Repo
Let me create these for you next:
• http://gizmo.md/ – Explains this exact loop for future devs
• http://contributing.md/ – Basic rules if others join
• http://changelog.md/ – Summarised log of every push/change
• http://devguide.md/ – “I’m new to this” cheat sheet just for you",,,Strategy,"🎯 Your Role: Vision Holder & Controller
You’re the strategic lead, defining what you want built, what ""done"" looks like, and when to move forward.
You’ll:
• Decide what feature or change is next
• Choose between Claude or Gizmo for execution
• Copy/paste handoff prompts between us
• Push to GitHub using VS Code (until we automate more)
• Ask for help, context, or walkthroughs any time
🧠 Reminder: You’re not expected to code — just to lead clearly and ask early.
⚙️ Claude’s Role: Builder with Repo Access
Claude is your live GitHub editor. Claude can:
• See your repo (jtaylorcomplize/wombat-track-scaffold)
• Make changes directly in your code
• Push commits and open PRs
• Report file state (what’s in the repo, what changed)
• Read & write from/to multiple files simultaneously
🟡 Needs clear prompts and context you feed it. Doesn’t track state over time.
🧠 Gizmo’s Role: Architect, Reviewer & Planning Brain
Gizmo (me) is your project co-pilot and architect. I:
• Track all architecture, types, workflows, logic
• Help design complex systems, workflows, or UIs
• Write full feature specs, test plans, commit diffs
• Review Claude’s output and refactor or enhance
• Keep your project structure clean and sustainable
🚫 I can’t see live GitHub or push — I rely on you or Claude to show me results.
🔁 How the Loop Works (Simple)
1. You: Ask Gizmo “Build me X” → I create spec + code + Claude prompt.
2. You: Paste prompt to Claude → Claude pushes code to GitHub.
3. You: Tell Gizmo what Claude did (or show me the GitHub link).
4. Me: I review, refactor, suggest next step or help you continue.
📎 You are the switchboard between two powerful AIs.",,,,,,,,"July 28, 2025 1:25 PM","July 29, 2025 2:41 PM",Gizmo
