projectName,projectId,owner,status
"Agent Mesh Visualisation (Integrate Surface)","WT-UX7","","Planning"
"To create a live","RECON-2","","tools"
"• Show directional capabilities (read","write","","dispatch)"
"• Clarify runtime agent orchestration","RECON-4","",""
"• Support debugging","governance","","and future system design"
"⚠️ This component will ultimately serve as the visual layer for agent interactions inside the broader MetaPlatform Dashboard., The Agent Mesh will be embedded in the Integrate Surface (OrbisDashboard) and act as an interactive diagram of all agent connections and system interactions., It supports the broader WT goals of:, • AI-agent governance, • Runtime introspection, • Traceable system design, • Live debugging and audit visibility, 📁 Repositories Affected, • wombat-track-scaffold, • wt-meta-platform (if external dispatcher hooks used), 🔧 TechnologiesStackUseReactFrontend UIMermaid.js or D3.jsDiagram generationTypeScriptComponent typing and JSON definitionsNode.jsOptional hooks / runtime data polling, ♻️ CI/CD PipelinesWorkflowDescriptionci.ymlEnsures build integrity of new componentsclaude-scaffold-enhanced.ymlCan generate JSON from Claude if neededintegration-map-test.yml(Future) CI test for valid node and edge schema, 🧠 Governance Logs, All work on this feature will be documented under the following GovernanceLog entries:, • Agent Mesh Proposal (Decision), • Phase 1 Completion – Static Diagram (Review), • Phase 2 Completion – Dynamic Mesh Component (Review + Change), • Mesh Overlay Styling Updates (Change), • Agent Mesh designated as visual layer inside MetaPlatform (Decision), 🔒 Security & Integrity Considerations, • No runtime write actions in Phase 1–2, • Phase 3 will need permission guards if live write actions are exposed (e.g., • Metadata logs must be filtered before public display, 📌 Dependencies, • Claude Dispatcher must expose endpoint status (Phase 3), • Metadata fields for agent capability must be defined in AgentDefinition.ts, • Runtime sync (optional) requires queue access or polling API, ✅ Completion Checklist (per phase), 🔚 Output Location, • AgentMesh.tsx (React), • integrationMap.json (config/registry), • http://agentmesh.md/ (governance artefact), ♻️ Versioning, • v0.1: Static Diagram Complete, • v1.0: Interactive Component Live in UI, • v1.1: Status and Semantic Tag overlays enabled, • v1.2: Runtime sync (optional), • v2.0: Embedded as interactive module in MetaPlatformDashboard","RECON-6","","Dynamic Component (React) (https://www.notion.so/Dynamic-Component-React-23ee1901e36e80e2ad01ee36ceb40673?pvs=21)"
"AI Integration – NotionGPT Connection","WT-UX13","","Completed"
"CI/CD Implementation","WT-UX10","","Completed"
"This session exposed critical weaknesses in our Git discipline, Despite setbacks, This session should serve as a foundational case study for hardening our MetaPlatform infrastructure, 🛠️ Fix Actions TakenActionDescription✅ Created sidebar-recovery-branchRestored logic from 64a589c safely✅ Claude selectively re-integrated sidebar UIRetained Claude scaffold while restoring Roam logic✅ Gizmo permanently assigned as GitOps managerNo Git push/merge without clear instruction✅ Merged fix/ui-dashboard-type-realignPhase types","RECON-9","","APIs"
"🔄 Pending Fixes & ImprovementsIDFixDescriptionF001Finalise Dashboard UI recoveryRestore layout","header","","sidebar wiringF002CI rules to block missing depsPrevent repeat of lucide-react issueF003Add http://wt-safe-checkout.sh/Prevent uncommitted changes lossF004Add WT-5.1 PhaseStep for sidebar recoveryPhasePlan traceabilityF005Snapshot CI test for ProjectDashboardCatch blank screens in devF006Review & version all types/* filesLock canonical types per WT versioningF007Reintroduce ProjectSwitcher header UXToggle logic and layout refinementsF008GitHub branch policy enforcementDisallow direct push to main in prod modeF009Design MetaPlatform dashboard RAG panelFor Git/Gizmo status sync visibility"
"🧠 Optional EnhancementsEnhancementBenefitGit PR automation for ClaudePrevents accidental pushes to mainwt-recovery-checker.tsDetects dangling local commits before they’re lostLive Git/Gizmo sync viewerSee PR","branch","","and sync status in dashboardAI-led missing dependency scanPreemptive deploy blocker for npm importsDashboard visual diff checkerCatch layout regressions using Puppeteer snapshots"
"🧭 MetaPlatform Architectural ImpactAreaRisk if UnresolvedResolutionGit IntegrityMetaPlatform loses control of AI scaffolding✅ Assign GitOps to Gizmo","RECON-12","","scripts incoming"
"Core Feature Retrofit","WT-UX8","","Planning"
"Address critical UI/UX and automation gaps that prevent Wombat Track + MetaPlatform from matching core features found in top project management platforms (Asana","Monday","","Jira"
"This retrofit focuses on visual planning, 📌 Dependencies, • Claude Prompt Dispatcher: available for rule suggestion or automation scaffolding, • DriveMemory & MemoryPlugin: log all user-generated rules and summaries, • GovernanceLog: attach rule outcomes to audit trail, 🧠 Opportunity for AgentsAgentRoleRule Suggestion AgentRecommend rules from repeated user behaviourTimeline AnalyzerDetect delays and flag risks in Timeline viewComment SummariserExtract GovernanceLog from user comments/decisionsMobile AI Assistant (future)Suggest next step or action via mobile interface, Created: 2025-07-24, Author: ChatGPT-Gizmo, Project Phase: WT 5.x – UX/Automation Retrofit, (https://www.notion.so/Kanban-Timeline-Foundations-23ee1901e36e8029b872d335ea0afbaf?pvs=21)","RECON-15","Gizmo","Collaboration & Alert (https://www.notion.so/Collaboration-Alert-23ee1901e36e8058b9c7de84e9d47989?pvs=21)"
"Design Principles","WT-UX12","","Completed"
