phasename,phaseid,RAG,WT Projects,endDate,notes,projectId,startDate,status,WT Projects 1
MetaPlatform Dashboard Embedding,AMV-1.4,,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21),,StepTaskOutput4.1Import AgentMesh.tsx into MetaPlatformDashboard.tsxRendered diagram within dashboard4.2Link view filter to agent registry card (Agent Tracker)Interactive dashboard toggle4.3Add dispatch overlay when MetaPlatform agent is clickedActionable UI hook4.4Enable live-sync toggle in Meta contextRuntime control layer,,,Planned,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21)
Live Status + Semantic Tags,AMV-1.3,,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21),,"StepTaskOutput3.1Add status field to each link (e.g., active, planned, deprecated)Updated JSON3.2Add visual styling for active/planned/deprecated edgesEdge color coding3.3Pull live state from GitHub / Claude Dispatcher status (future)Runtime sync hooks (optional)3.4Add RAG status badge overlays where applicableOptional Governance overlay",,,Planned,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21)
Dynamic Component (React),AMV-1.2,,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21),,"StepTaskOutput2.1Create AgentMesh.tsx component scaffoldComponent file2.2Create source-of-truth file integrationMap.jsonJSON registry2.3Render diagram using Mermaid wrapper (@mermaid-js/react) or custom D3Live diagram inside WT UI2.4Add toggle views (CodeOps, Memory, Runtime, Governance)UI filters2.5Connect diagram hover/click events to metadata or modal detailInteraction layer2.6Log component and source config in Template TrackerGovernance linkage",,,Planned,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21)
Static Diagram Prototype,AMV-1.1,,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21),,"StepTaskOutput1.1Define core entities (Claude, Gizmo, GitHub, WT UI, DriveMemory, MemoryPlugin)JSON and diagram node list1.2Define directional flows (read/write/dispatch/submit)Arrow config and access labels1.3Generate Mermaid static diagramMermaid block and test render1.4Add tooltip text + edge labels to define capabilityAnnotated diagram in Markdown1.5Commit static draft to GovernanceLog.md artefact for Phase 1 closure",,,Planned,Agent Mesh Visualisation (Integrate Surface) (https://www.notion.so/Agent-Mesh-Visualisation-Integrate-Surface-23ee1901e36e8096914ae499b3d494d7?pvs=21)
Mobile + Cross Project,WT-5.4,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),,"WT 5.4 – Mobile + Cross-Project View
• Responsive updates to core components
• Timeline: add global view with filters by tag/status",,,Planned,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
Collaboration & Alert,WT-5.3,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),,"WT 5.3 – Collaboration & Alerts
• Add inline comment threads per PhaseStep
• Support user mentions and task ownership
• Build Slack/email notification connector",,,Planned,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
Rule Engine MVP,WT-5.2,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),,"WT 5.2 – Rule Engine MVP
• Define Rule, Trigger, Action data types
• Implement Rule builder UI + logic processor
• Link rules to Step events and Logs",,,Planned,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
"Kanban & Timeline Foundations
",WT-5.1,,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),,"WT 5.1 – Kanban & Timeline Foundations
• Add startDate, dueDate, statusLastUpdated fields
• Create Kanban UI: drag/drop PhaseSteps grouped by status
• Create Gantt UI: timeline bar per PhaseStep",,,Planned,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
Slash Command + Memory Ops,"WT-5.7 ",Amber,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),,"Slash commands, memory summarisation, recall and context injection",Wombat Track – Gizmo,,Planned,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
Real-Time Dispatch,"WT-5.6 ",Green,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),"July 25, 2025",Live API wiring to Claude and Gizmo agents,Wombat Track – Gizmo,"July 23, 2025",Complete,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
GovernanceLog Hook,"WT-5.5 ",Green,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21),"July 22, 2025",All console interactions are now logged with metadata,Wombat Track – Gizmo,"July 21, 2025",Complete,Core Feature Retrofit (https://www.notion.so/Core-Feature-Retrofit-23ee1901e36e80c79980f25071cdb8e8?pvs=21)
